# unfoldingWord/en_ult 24-JER.usfm @ 82aad43b84ab35ce7139c2e5e47fea0cd5ef41fb
# Fixes USFM — Richard Mahn, fetched from git.door43.org 2026-08-24
# Every line below is REAL: the line number and the real line text up to the
# end of its last \c / \v marker. Nothing else in the file affects the
# hunk -> verse mapping, so the test rebuilds a stand-in file of exactly
# 43150 lines with these markers at these line numbers.
lines	43150
11	\c 1
13	\v 1
31	\v 2
57	\v 3
98	\v 4
107	\q1 \v 5
139	\v 6
156	\q1 \v 7
186	\v 8
206	\v 9
230	\v 10
265	\v 11
284	\v 12
305	\v 13
335	\v 14
353	\v 15
400	\v 16
431	\v 17
467	\v 18
506	\v 19
532	\c 2
534	\v 1
543	\v 2
582	\q1 \v 3
609	\q1 \v 4
627	\v 5
655	\q1 \v 6
708	\q1 \v 7
741	\q1 \v 8
778	\q1 \v 9
803	\q1 \v 10
830	\q1 \v 11
851	\q1 \v 12
865	\q1 \v 13
896	\q1 \v 14
910	\q1 \v 15
934	\q1 \v 16
949	\q1 \v 17
970	\q1 \v 18
1000	\q1 \v 19
1045	\q1 \v 20
1080	\q1 \v 21
1107	\q1 \v 22
1134	\q1 \v 23
1166	\q1 \v 24
1208	\q1 \v 25
1238	\q1 \v 26
1268	\q1 \v 27
1308	\q1 \v 28
1345	\q1 \v 29
1362	\q1 \v 30
1384	\q1 \v 31
1421	\q1 \v 32
1440	\q1 \v 33
1458	\q1 \v 34
1486	\q2 \v 35
1511	\q1 \v 36
1535	\q1 \v 37
1567	\c 3
1568	\q1 \v 1
1614	\q1 \v 2
1657	\q1 \v 3
1684	\q1 \v 4
1701	\q1 \v 5
1728	\v 6
1768	\v 7
1790	\v 8
1837	\v 9
1856	\v 10
1885	\v 11
1903	\v 12
1941	\q1 \v 13
1979	\v 14
2011	\v 15
2029	\v 16
2084	\v 17
2121	\v 18
2159	\v 19
2199	\q1 \v 20
2224	\q1 \v 21
2255	\q1 \v 22
2277	\q1 \v 23
2298	\q1 \v 24
2321	\q1 \v 25
2367	\c 4
2368	\q1 \v 1
2395	\q1 \v 2
2423	\v 3
2447	\q1 \v 4
2494	\q1 \v 5
2524	\q1 \v 6
2554	\q1 \v 7
2592	\q1 \v 8
2617	\q1 \v 9
2655	\v 10
2688	\v 11
2724	\v 12
2744	\q1 \v 13
2769	\v 14
2790	\v 15
2805	\v 16
2830	\v 17
2853	\v 18
2880	\q1 \v 19
2920	\v 20
2942	\v 21
2960	\q1 \v 22
2992	\q1 \v 23
3012	\q1 \v 24
3028	\q1 \v 25
3046	\q1 \v 26
3079	\v 27
3097	\q1 \v 28
3132	\q1 \v 29
3176	\q1 \v 30
3220	\q1 \v 31
3265	\c 5
3266	\q1 \v 1
3304	\q1 \v 2
3317	\q1 \v 3
3353	\q1 \v 4
3380	\q1 \v 5
3417	\q1 \v 6
3462	\q1 \v 7
3494	\q1 \v 8
3508	\q1 \v 9
3535	\q1 \v 10
3556	\q1 \v 11
3579	\q1 \v 12
3603	\q1 \v 13
3626	\v 14
3662	\q1 \v 15
3707	\q1 \v 16
3717	\q1 \v 17
3769	\v 18
3785	\v 19
3833	\q1 \v 20
3846	\q1 \v 21
3868	\q1 \v 22
3926	\q1 \v 23
3942	\q1 \v 24
3982	\q1 \v 25
4001	\q1 \v 26
4023	\q1 \v 27
4042	\q2 \v 28
4083	\q1 \v 29
4112	\q1 \v 30
4120	\q1 \v 31
4148	\c 6
4150	\v 1
4187	\q1 \v 2
4199	\q1 \v 3
4224	\q1 \v 4
4252	\q1 \v 5
4266	\v 6
4294	\q1 \v 7
4321	\q1 \v 8
4348	\v 9
4377	\q1 \v 10
4422	\q1 \v 11
4470	\q1 \v 12
4501	\q1 \v 13
4525	\q1 \v 14
4542	\q1 \v 15
4587	\v 16
4624	\q1 \v 17
4645	\q1 \v 18
4656	\q1 \v 19
