Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	yx6e				0	# Introduction to Zechariah\n\n## Part 1: General Introduction\n\n### Outline of the Book of Zechariah\n\n1. Zechariah calls the returning nation of Israel to repent and return to Yahweh ([1:1–6](../01/01.md))\n1. The eight night visions ([1:7–6:8](../01/07.md))\n    * Yahweh sends his messengers throughout the whole earth ([1:7–17](../01/07.md))\n    * Four horns and four craftsmen ([1:18–21](../01/18.md))\n    * The measuring line ([2:1–13](../02/01.md))\n    * The priest in filthy clothes ([3:1–10](../03/01.md))\n    * The golden lampstand olive trees ([4:1–14](../04/01.md))\n    * The flying scroll ([5:1–4](../05/01.md))\n    * The woman in a basket ([5:5–11](../05/05.md))\n    * Four chariots ([6:1–8](../06/01.md))\n1. A crown for the high priest ([6:9–15](../06/09.md))\n1. Questions about fasting ([7:1–8:23](../07/01.md))\n1. Yahweh judges the nations and saves his people ([9:1–11:17](../09/01.md))\n1. Final message ([12:1–14:21](../12/01.md))\n    * Yahweh will finally defeat Israel’s enemies ([12:1–9](../12/01.md))\n    * Israel mourns for the one they pierced ([12:10–14](../12/10.md))\n    * Yahweh purifies Israel and removes false prophets ([13:1–6](../13/01.md))\n    * Yahweh comes as king ([14:1–21](../14/01.md))\n\n### What is the Book of Zechariah about?\n\nZechariah wrote to the people of Judah who returned from being exiled in Babylon. The people of Judah continued to sin, as their ancestors did before they went into exile. Zechariah called the people to repent and to obey Yahweh. And he called them to renew the covenant with Yahweh. Zechariah also prophesied about the Messiah and about Israel finally being victorious over her enemies. (See: [[rc://*/tw/dict/bible/kt/covenant]])\n\n### How should the title of this book be translated?\n\nThis book traditionally has been titled “Zechariah” or “The Book of Zechariah.” Translators may decide to call it the “The Book About Zechariah” or “The Sayings of Zechariah.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the Book of Zechariah?\n\nThe prophet Zechariah wrote this book between 520 and 518 B.C.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Did Zechariah prophesy before Ezra, Nehemiah, and Haggai?\n\nZechariah prophesied before the time of Ezra and Nehemiah. He prophesied at the same time as Haggai and continued after Haggai.\n\n## Part 3: Important Translation Issues\n\n### What is the meaning of the term “Israel”?\n\nThe name “Israel” is used in many different ways in the Bible. Jacob was a son of Isaac. God changed Jacob’s name to Israel. The descendants of Jacob became a nation also called Israel. Eventually, the nation of Israel split into two kingdoms. The northern kingdom was named Israel. The southern kingdom was named Judah. Zechariah uses the term “Israel” to refer to both the nation of Israel and the northern kingdom of Israel.\n\n### What imagery does Zechariah use in reference to the Messiah?\n\nZechariah presented the Messiah as both a king and a shepherd. Zechariah said that the Messiah would come and deliver his people. However, the Messiah would also be pierced ([12:10](../12/10.md)) and struck with the sword ([13:7](../13/07.md)). (See: [[rc://*/tw/dict/bible/kt/christ]])\n\n### What does the phrase “that day” mean?\n\nZechariah often spoke of the last days by using the phrase “that day” or “in that day.” When referring to a future “day,” the translator should be aware that the author may be speaking about the last days. (See: [[rc://*/tw/dict/bible/kt/lastday]])
1:intro	qki3				0	# Zechariah 1 General Notes\n\n## Structure and Formatting\n\nThis chapter is written in prose mainly with imagery used throughout to portray Zechariah’s vision given by the Lord.\n\nSome translations prefer to set apart quotations. The ULT and many other English translations set lines 1:3–6, 14–17, which are extended quotations, farther to the right on the page than the rest of the text.\n\n## Religious and Cultural Concepts in This Chapter\n\n### Visions\n\nThis book contains a number of visions given to Zechariah, so the images are not ones Zechariah actually saw but were given to him in a vision or dream. It is important for each of these visions to keep their meanings and not be interpreted to mean any specific thing.\n\n## Translation Issues in This Chapter\n\n### Date\n\nZechariah uses two separate dates in this first chapter. When compared to the book of Haggai, Zechariah’s prophecy was proclaimed just a few weeks after Haggai. However, they prophesied in two different places: Haggai was in Jerusalem and Zechariah was somewhere outside of Jerusalem. (See: [[rc://*/tw/dict/bible/kt/prophet]])
1:1	c5as		rc://*/ta/man/translate/figs-idiom	הָיָ֣ה דְבַר־יְהוָ֗ה אֶל־זְכַרְיָה֙	1	Zechariah is using **the word of Yahweh came to Zechariah** as a common expression of the culture to mean “Yahweh communicated a message to Zechariah.” If this phrase does not have that meaning for your readers, you could use a comparable expression from your language that does have that meaning, or you could state the meaning plainly. Alternate translation: [Yahweh spoke his message to Zechariah] or [Yahweh gave his message to Zechariah]
1:1	bra8		rc://*/ta/man/translate/writing-newevent	בַּ⁠חֹ֨דֶשׁ֙ הַ⁠שְּׁמִינִ֔י בִּ⁠שְׁנַ֥ת שְׁתַּ֖יִם לְ⁠דָרְיָ֑וֶשׁ	1	Zechariah is using the phrase **In the eighth month, in the second year of Darius** to introduce a new event in the story (in this case, the very beginning). Use a word, phrase, or other method in your language that is natural for introducing a new event.
1:2	kog5		rc://*/ta/man/translate/writing-poetry	קָצַ֧ף & קָֽצֶף	1	Yahweh is using a construction in which a verb and its object come from the same root. You may be able to use the same construction in your language to express the meaning here. Alternatively, your language may have another way of saying this. Alternate translation: [was extremely angry]
1:3	x9ar		rc://*/ta/man/translate/figs-metaphor	שׁ֣וּבוּ אֵלַ֔⁠י	1	Here Yahweh is speaking as if the people’s relationship with him were a place that they had physically left and could physically come back to. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [Be faithful to me again] or [Renew your commitment to me]
1:3	lw80		rc://*/ta/man/translate/figs-metaphor	וְ⁠אָשׁ֣וּב אֲלֵי⁠כֶ֔ם	1	Here Yahweh is speaking as if his renewed favor toward the people were a physical movement back to them. Your language may have a comparable expression that you can use in your translation, or you could state the meaning plainly. Alternate translation: [and I will be favorable to you again] or [and I will bless you again]
1:3	hm40		rc://*/ta/man/translate/figs-quotations	וְ⁠אָמַרְתָּ֣ אֲלֵ⁠הֶ֗ם כֹּ֤ה אָמַר֙ יְהוָ֣ה צְבָא֔וֹת	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: [And you shall tell them that Yahweh of Armies says this]
1:3	gc9s		rc://*/ta/man/translate/writing-quotations	נְאֻ֖ם יְהוָ֣ה צְבָא֑וֹת	1	The term **the declaration of Yahweh of Armies** introduces a parenthetical affirmation of the source of this direct quotation. In your translation, use a natural way of indicating the authoritative source of direct quotations in your language. It may not be necessary to represent this term explicitly.
1:3	xoxv		rc://*/ta/man/translate/grammar-connect-condition-hypothetical	שׁ֣וּבוּ אֵלַ֔⁠י & וְ⁠אָשׁ֣וּב אֲלֵי⁠כֶ֔ם	1	Here, **Return to me** introduces the first part of a possible condition. Yahweh will only do the thing in the second part, **and I will return to you**, if this condition happens. Use a natural form in your language for introducing a condition that could happen. Alternate translation: [If you return to me, then I will return to you]
1:4	i8gr		rc://*/ta/man/translate/figs-doublet	מִ⁠דַּרְכֵי⁠כֶ֣ם הָ⁠רָעִ֔ים וּמַֽעַלְלֵיכֶ֖ם הָֽ⁠רָעִ֑ים	1	The terms **evil ways** and **evil deeds** mean similar things. Yahweh is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: [from all of your evil conduct]
1:4	j8bs		rc://*/ta/man/translate/figs-metaphor	מִ⁠דַּרְכֵי⁠כֶ֣ם הָ⁠רָעִ֔ים	1	Yahweh is speaking of how the ancestors lived as if that were a **way** or path that they were walking along. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: [from your evil behavior]
1:4	dluc		rc://*/ta/man/translate/grammar-connect-logic-contrast	וְ⁠לֹ֥א שָׁמְע֛וּ וְ⁠לֹֽא־הִקְשִׁ֥יבוּ	1	Yahweh uses the word **But** here to indicate a contrast between what the former prophets told the ancestors to do and what the ancestors actually did. In your translation, indicate this contrast in a way that is natural in your language. Alternate translation: [However, they did not hear, and they did not pay attention]
1:4	khup		rc://*/ta/man/translate/figs-quotations	לֵ⁠אמֹ֗ר כֹּ֤ה אָמַר֙ יְהוָ֣ה צְבָא֔וֹת	1	If it would be clearer in your language, you could translate this so that there is not a quotation within a quotation. Alternate translation: [and told them that Yahweh of Armies had said to]
1:4	ukxb		rc://*/ta/man/translate/figs-doublet	וְ⁠לֹ֥א שָׁמְע֛וּ וְ⁠לֹֽא־הִקְשִׁ֥יבוּ אֵלַ֖⁠י	1	The terms **did not hear** and **did not pay attention** mean similar things. Yahweh is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: [But they completely refused to obey me]
1:5	h3us		rc://*/ta/man/translate/figs-rquestion	וְ⁠הַ֨⁠נְּבִאִ֔ים הַ⁠לְ⁠עוֹלָ֖ם יִֽחְיֽוּ	1	Yahweh is using the question form to emphasize that the prophets also died. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [And the prophets did not live forever either.]
1:5	nx2k		rc://*/ta/man/translate/figs-rquestion	אֲבֽוֹתֵי⁠כֶ֖ם אַיֵּה־הֵ֑ם	1	Yahweh is using the question form to emphasize that the ancestors are dead. If a speaker of your language would not use the question form for that purpose, you could translate this as a statement or as an exclamation. Alternate translation: [Your fathers are no longer alive.]
