Reference	ID	Tags	Quote	Occurrence	Question	Response
1:1	bab5			0	During whose reign did Zechariah prophesy?	Zechariah prophesied during the reign of Darius.
1:1	ft2k			0	Who was Zechariah?	Zechariah was the son of Berechiah, the son of Iddo the prophet.
1:3	ywqh			0	What did Yahweh of hosts say he would do if the people would turn to him?	Yahweh of hosts said if the people would turn to him, he would return to them.
1:4	x8i8			0	What did their fathers do when Yahweh told them to turn from their evil ways and wicked practices?	Their fathers would not hear and did not pay attention to Yahweh.
1:6	mey1			0	What did the people say when they repented?	When they repented the people said, “Yahweh of hosts’s plans are made in keeping with his word and practice, and he has carried them out.”
1:8	cz8o			0	What did Zechariah see when the word of Yahweh came to him in the night?	Zechariah saw a man riding on a red horse among the myrtle trees in the valley. Behind him were red, reddish-brown, and white horses.
1:10	x97f			0	What were the horses that Zechariah saw?	The horses were those Yahweh had sent out to roam throughout the earth.
1:11	dc9e			0	What did the horses who roamed throughout the earth find?	The horses found all the earth sitting still and at rest.
1:12	lnvy			0	What question did the angel of Yahweh have for Yahweh concerning Jerusalem and the cities of Judah?	The angel of Yahweh asked Yahweh how long he would show no compassion to Jerusalem and the cities of Judah.
1:16-17	xaeg			0	What did Yahweh of hosts say concerning Jerusalem and the cities of Judah?	Yahweh said he had returned to Jerusalem with mercies, that his house would be built within her and the measuring line would be stretched out over Jerusalem. Yahweh also said his cities would once again overflow with goodness and Yahweh would again comfort Zion and once again choose Jerusalem.
1:19	p5hm			0	What were the four horns that Zechariah saw?	The four horns were those who had scattered Judah, Israel, and Jerusalem.
1:20-21	cnte			0	Who were the four blacksmiths that Zechariah saw and what were they going to do?	The blacksmiths were people who were going to drive out and cast down the horns of the nations who had lifted up any horn against the land of Judah to scatter her.
2:2	x9oe			0	What was the young man going to do with the measuring line in his hand?	He was going to measure Jerusalem, to determine its width and its length.
2:4	jwwr			0	Why did the second angel say that Jerusalem would sit in the open country?	The second angel said this because of the multitudes of men and beasts that would be within her.
2:5	fp96			0	What did Yahweh say he would become for Jerusalem?	Yahweh said he would become a wall of fire around her and he would be the glory in her midst.
2:7	jdy2			0	What was Yahweh’s declaration to those who lived with the daughter of Babylon?	Yahweh told them to escape to Zion.
2:9	mqz5			0	How were they supposed to know that Yahweh of hosts had sent the second angel?	The second angel said Judah and Israel would know Yahweh had sent him when he shook his hand over the nations that plundered them and when the nations that plundered Judah and Israel were plundered for their slaves.
2:11	jgyb			0	What will happen when Yahweh comes and encamps in Zion?	When that happens great nations will join themselves to Yahweh and those of Zion will become his people.
2:13	kl8l			0	Why is all flesh told to be silent before Yahweh?	All flesh is told to be silent before Yahweh because Yahweh has been roused from out of the heavens.
3:1	nol0			0	Who was standing near Joshua the high priest?	Joshua was standing before the angel of Yahweh, and the adversary was standing at his right hand.
3:1	dxwx			0	What was the adversary doing at Joshua’s right hand?	The adversary was standing there to accuse Joshua.
3:2	fx73			0	What did Yahweh say to the adversary?	Yahweh rebuked the adversary and said that Yahweh had chosen Jerusalem. He also compared Joshua to a firebrand rescued from the fire.
3:3	dmzy			0	What was Joshua wearing as he stood before the angel?	Joshua was dressed in filthy garments.
